crl+AF8-uri,crl+AF8-size,num+AF8-of+AF8-revoked,used+AF8-by,amortized+AF8-cost
http://crl.godaddy.com/gds1+AC0-31.crl,118512,2946,99,1198
http://crl.godaddy.com/gds1+AC0-24.crl,115519,2857,95,1216
http://crl.godaddy.com/gds1+AC0-26.crl,114961,2844,90,1278
http://crl.godaddy.com/gds1+AC0-21.crl,111707,2766,79,1415
http://crl.godaddy.com/gds1+AC0-25.crl,111675,2756,106,1054
http://crl.godaddy.com/gds1+AC0-19.crl,110686,2741,66,1678
http://crl.omniroot.com/SureServerG2.crl,84427,2710,71,1190
http://crl.godaddy.com/gds1+AC0-22.crl,109206,2700,98,1115
http://crl.godaddy.com/gds1+AC0-23.crl,106232,2628,86,1236
http://crl.godaddy.com/gds1+AC0-20.crl,106015,2627,74,1433
http://www.multicert.com/ca/multicert+AC0-ca+AC0-02.crl,96099,2585,25,3844
http://www.trustcenter.de/crl/v2/tcclass3.crl,113972,2555,1,113972
http://crl.netsolssl.com/NetworkSolutions+AF8-CA.crl,90319,2530,1712,53
http://EVSecure+AC0-crl.verisign.com/EVSecure2006.crl,87035,2472,1591,55
http://crl.ford.com/crl/Ford+ACU-20Motor+ACU-20Company+ACU-20+AC0AJQ-20Enterprise+ACU-20Issuing+ACU-20CA01.crl,74074,2471,9,8231
http://www.postsignum.cz/crl/pspublicca2.crl,88348,2388,5,17670
http://epscd2.catcert.net/crl/ec+AC0-urv.crl,115893,2343,1,115893
http://www.certificadodigital.com.br/repositorio/lcr/serasacdv2.crl,85428,2326,3,28476
http://pki.saic.com/SAIC+ACU-20Public+ACU-20Issuing+ACU-20CA+ACU-2001(2).crl,87095,2310,1,87095
http://crl.starfieldtech.com/sfs1+AC0-3.crl,92738,2290,111,836
http://ca.andrews.hu/andrews+AC0-crl.crl,45392,2144,1,45392
http://cert.managedpki.com/pkioverheid/crl/GetronicsCSPOrganisatieCAG2/LatestCRL.crl,78373,2106,20,3919
http://crls.ecce.gov.pt/crls/crl.crl,73623,2087,1,73623
http://crl.ca.ngs.ac.uk/crl/escience2b.crl,43249,2032,1,43249
http://crl.globalsign.net/ServerSign.crl,57430,1884,28,2052
http://crl.comodoca.com/COMODOSSLCA.crl,66514,1859,1890,36
http://crl.starfieldtech.com/sfs1+AC0-2.crl,74128,1831,62,1196
http://crl.entrust.net/level1b.crl,68812,1831,25,2753
http://crl.msan.hr/CertEnroll/M+ACU-20San+ACU-20Grupa+ACU-20Partner+ACU-20Certificate+ACU-20Authority(1).crl,52313,1768,1,52313
http://rootca.allianz.com/infraca/InfraCA3.crl,47878,1657,1,47878
http://crl.omniroot.com/SureServerEV.crl,51229,1634,3,17077
http://crl.comodoca.com/EssentialSSLCA.crl,57867,1616,2047,29
http://sureseries+AC0-crl.cybertrust.ne.jp/SureServer/ctjpubcag1/cdp.crl,106554,1575,155,688
http://crl.globalsign.net/DomainVal1.crl,46671,1539,234,200
http://sertifikati.ca.posta.rs/crl/PostaCA1.crl,58621,1539,3,19541
http://repo1.secomtrust.net/spcpp/pfw/pfwsr2ca/fullcrl.crl,40740,1491,300,136
http://crls.pki.state.gov/crls/DoSADPKIHACAsha256.crl,37724,1488,1,37724
http://crl3.digicert.com/ca3+AC0-g20.crl,72522,1470,484,150
http://crl.disa.mil/crl/DODCA+AF8-28.crl,31289,1463,1,31289
http://crl.usertrust.com/USERTrustLegacySecureServerCA.crl,51559,1438,406,127
http://icp+AC0-brasil.certisign.com.br/repositorio/lcr/ACCertisignMultiplaG5/LatestCRL.crl,51084,1438,1,51084
http://cdp.cryptopro.ru/ra/cdp/28DC53BCFB64816B9718FC823155CE932AC0CCE7.crl,59142,1416,1,59142
http://crl.godaddy.com/gds1+AC0-0.crl,53424,1415,82,652
http://cdp1.pca.dfn.de/deutscher+AC0-bundestag+AC0-ca/pub/crl/cacrl.crl,33381,1377,2,16691
http://SVRSecure+AC0-G2+AC0-crl.verisign.com/SVRSecureG2.crl,47885,1352,211,227
http://crl.netsolssl.com/NetworkSolutionsDVServerCA.crl,48062,1340,326,148
http://www.gstatic.com/GoogleInternetAuthority/GoogleInternetAuthority.crl,49692,1337,31,1603
http://crl.entrust.net/level1e.crl,59808,1332,194,309
http://ccd.serpro.gov.br/lcr/serproacfv3.crl,44219,1238,17,2602
http://crl.startssl.com/crt2+AC0-crl.crl,27452,1231,1025,27
http://SVRIntl+AC0-crl.verisign.com/SVRIntl.crl,41272,1168,162,255
http://crl.verisign.com/Class3InternationalServer.crl,41272,1168,23,1795
http://crl.comodoca.com/UTN+AC0-USERFirst+AC0-Hardware.crl,40345,1121,975,42
http://crls.services.cnrs.fr/CNRS2+AC0-Standard/getder.crl,23803,1115,1,23803
http://crl.godaddy.com/gds1+AC0-18.crl,43966,1081,55,800
http://crl.camerfirma.com/AC+AF8-CAMERFIRMA+AF8-AAPP.crl,43815,1038,4,10954
http://cert.managedpki.com/crl/KPNCorporateMarketCSPOrganisatieCAG2/LatestCRL.crl,40560,1018,12,3380
http://crl.godaddy.com/gds1+AC0-17.crl,40438,991,56,723
http://crl.godaddy.com/gds1+AC0-16.crl,40394,989,43,940
http://crl.starfieldtech.com/sfs1+AC0-4.crl,38451,941,50,770
http://crl.register.com/RegistercomSSLServicesCADV.crl,33751,938,120,282
http://crl.godaddy.com/gdig2s1+AC0-0.crl,38140,935,75,509
http://crl.startssl.com/crt1+AC0-crl.crl,20584,914,2002,11
http://cert.startcom.org/crt1+AC0-crl.crl,20562,913,5,4113
http://crl.globalsign.com/gs/gsorganizationvalcatg2.crl,33141,913,1,33141
http://crl3.digicert.com/ca3+AC0-g16.crl,44835,905,264,170
http://crl.godaddy.com/gds1+AC0-15.crl,36586,893,39,939
http://crl.thawte.com/ThawteEVCA2006.crl,31410,884,909,35
http://svr+AC0-sgc+AC0-crl.thawte.com/ThawteSGCG2.crl,31145,877,237,132
http://crl.godaddy.com/gds1+AC0-13.crl,35466,866,40,887
http://crl1.netlock.hu/index.cgi?crl+AD0-cbca,40787,857,22,1854
http://crl.omniroot.com/PublicSureServerSV.crl,27148,825,70,388
http://crl.godaddy.com/gds1+AC0-14.crl,33689,822,32,1053
http://crl.godaddy.com/gds1+AC0-10.crl,33394,813,47,711
http://crl.godaddy.com/gds1+AC0-12.crl,31365,764,40,785
http://crl.godaddy.com/gds1+AC0-8.crl,31178,755,41,761
http://crl.godaddy.com/gds1+AC0-11.crl,30511,743,33,925
http://icp+AC0-brasil.certisign.com.br/repositorio/lcr/ACCertisignMultiplaG3/LatestCRL.crl,26505,743,2,13253
http://sureseries+AC0-crl.cybertrust.ne.jp/SureServer/ctjpubcag2/cdp.crl,56583,739,278,204
http://crl3.digicert.com/ca3+AC0-g15.crl,35623,717,178,201
http://crl3.digicert.com/ca3+AC0-g17.crl,35476,714,217,164
http://crl.thawte.com/ThawteServerPremiumCA.crl,25297,711,219,116
http://crl.thawte.com/ThawtePremiumServerCA.crl,25297,711,50,506
http://crl.godaddy.com/gds1+AC0-7.crl,28428,693,29,981
http://crl3.digicert.com/ca3+AC0-g19.crl,34251,689,202,170
http://cdp1.pca.dfn.de/mpg+AC0-ca/pub/crl/cacrl.crl,16702,688,1,16702
http://crl.thawte.com/ThawteServerCA.crl,24412,686,206,119
http://crl.starfieldtech.com/sfs1+AC0-1.crl,28118,685,47,599
http://crl.godaddy.com/gds1+AC0-9.crl,28150,684,32,880
http://crl.globalsign.net/OrganizationVal1.crl,20984,683,188,112
http://crl.globalsign.com/gs/gsdomainvalg2.crl,25636,680,2597,10
http://crl3.digicert.com/ca3+AC0-2011g.crl,33565,675,145,232
http://crl.coop.ch/CoopSystemCA1.crl,27012,662,6,4502
http://crl.godaddy.com/gds2+AC0-1.crl,27307,660,55,497
http://eca.orc.com/CRLs/ORCECASW4.crl,24069,646,1,24069
http://crl.globalsign.com/gs/gsorganizationvalg2.crl,24162,640,2398,11
http://certificates.godaddy.com/repository/godaddyextendedissuing.crl,23653,636,53,447
http://crl.godaddy.com/gds1+AC0-6.crl,26010,631,40,651
http://crl3.digicert.com/ca3+AC0-2011f.crl,30919,621,136,228
http://experian.managed.entrust.com/CRLs/ExperianIssuingCA1.crl,23423,618,5,4685
http://crl.csctrustedsecure.com/TrustedSecureCertificateAuthority+AF8-3.crl,22270,614,209,107
http://crl3.digicert.com/ca3+AC0-g14.crl,30576,614,149,206
http://crl.alphassl.com/Alpha.crl,18682,608,127,148
http://pki.red.es/pub/crl/cacrl.crl,14398,606,1,14398
http://crl.quovadisglobal.com/qvocag2.crl,31104,602,5,6221
http://crl3.digicert.com/ca3+AC0-g13.crl,29939,601,153,196
http://crl2.alphassl.com/gs/gsalphag2.crl,21858,579,2657,9
http://crl.godaddy.com/gds1+AC0-5.crl,22627,548,28,809
http://crl3.digicert.com/ca3+AC0-g18.crl,27195,545,207,132
http://certificates.starfieldtech.com/repository/starfieldissuing.crl,20265,542,35,579
http://crl3.digicert.com/ca3+AC0-g1.crl,26362,528,132,200
http://crl3.digicert.com/ca3+AC0-g11.crl,25970,520,134,194
http://crl3.digicert.com/ca3+AC0-g2.crl,25823,517,100,259
http://crl3.digicert.com/ca3+AC0-g9.crl,25725,515,113,228
http://crl.ca.vodafone.com/crl/VodafoneCorporateServices2009.crl,27091,511,15,1807
http://crl.godaddy.com/gds2+AC0-0.crl,20793,501,51,408
